dco_number,document_number,document_title,from_rev,to_rev,change_description,originator,date_requested,effective_date,impact_assessments
003,QM.SLQ019,Identification & Traceability SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
003,QM.SLQ020,Purchasing Controls SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,FM1-QM.SLQ021,Product Complaint File (PCF),-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM1-QM.SLQ030,Recall Report Submitted to FDA Form,-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM1-QM.SLQ039,Basic Receiving Inspection Form,-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM1-QM.SLQ040,Nonconforming Material Report Form,-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM2-QM.SLQ030,Field Safety Corrective Action Report Form (EU),-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM2-QM.SLQ039,General Inspection Form,-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM2-QM.SLQ040,Nonconforming Material Report Log,-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM3-QM.SLQ030,Field Safety Notice Form,-,A,,B. Wong,2020-09-24,2020-09-25,
004,FM4-QM.SLQ030,Advisory and Recall Notices Distribution Log Form,-,A,,B. Wong,2020-09-24,2020-09-25,
004,QM.SLQ021,Product Complaint System SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ022,Medical Device Reporting SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ023,eMDR Submission - Work Instruction,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ025,Quality Planning SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ028,Protection of Confidential Patient Information SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ030,Advisory Notices and Recalls SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ032,Software Validaton SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ033,Post-Market Surveillance SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ039,Receiving Inspection SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
004,QM.SLQ040,Nonconforming Materials SOP,-,A,,B. Wong,2020-09-24,2020-09-25,Training
005,QM.SLQ027,Quality Manual,-,A,,B. Wong,2020-10-02,2020-10-08,Training
005,QM.SLQ035,Quality Policy,-,A,,B. Wong,2020-10-02,2020-10-08,Training
006,QM.SLQ012,Risk Management SOP,A,B,,B. Wong,2021-03-30,2021-04-06,Training
006,QM.SLQ013,Risk Analysis SOP,A,B,,B. Wong,2021-03-30,2021-04-06,Training
006,TMP1-QM.SLQ012,Risk Management Plan Template,A,B,,B. Wong,2021-03-30,2021-04-06,
006,TMP1-QM.SLQ013,Preliminary Hazard Analysis Template,A,B,,B. Wong,2021-03-30,2021-04-06,
006,TMP2-QM.SLQ013,Hazard Analysis Table Template,A,B,,B. Wong,2021-03-30,2021-04-06,
007,FM1-QM.SLQ001,Document Change Order Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ003,Employee Training Program Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ004,Design Project Scope Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ008,Design Review Meeting Minutes Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ009,Design Verification/Validation Deviation Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ014,Electronic Signature Acknowledgement Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ015,Supplier Quality Self-Assessment Survey Form - Manufacturer,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ016,CAPA Report Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ017,Internal Quality Audit Schedule Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ018,Management Review Meeting Minutes,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ020,Purchase Order Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ021,Product Complaint File (PCF),A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ030,Recall Report Submitted to FDA Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ039,Basic Receiving Inspection Form,A,A,,D. Porter,2021-08-24,,
007,FM1-QM.SLQ040,Nonconforming Material Report Form,A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ001,Authorized Approvers Form,A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ003,Employee Training Record Form,A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ015,Supplier Quality Self-Assessment Survey Form - Testing Services,A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ017,Internal Quality Audit Checklist Form,A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ030,Field Safety Corrective Action Report Form (EU),A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ039,General Inspection Form,A,A,,D. Porter,2021-08-24,,
007,FM2-QM.SLQ040,Nonconforming Material Report Log,A,A,,D. Porter,2021-08-24,,
